0234105	0077636	0
0195185	0229204	0
0039707	0221023	0
0024287	0185834	0
0034283	0187487	0
0269221	0130789	0
0187865	0187873	1
0124817	0124813	1
0198344	0112799	0
0259252	0228595	0
0074878	0022247	0
0130331	0292813	0
0243115	0314540	0
0300868	0216484	0
0155407	0053038	0
0020127	0087179	0
0132450	0071587	0
0026920	0213597	0
0003793	0003776	1
0016035	0135018	0
0254987	0042392	0
0207955	0048266	0
0046680	0046686	1
0016858	0000554	0
0209295	0219972	0
0043174	0198415	0
0110361	0059240	0
0055455	0055442	1
0059422	0286462	0
0119252	0304504	0
0244123	0244111	1
0307303	0307304	1
0007618	0106742	0
0097443	0063008	0
0063617	0176007	0
0266908	0216525	0
0025769	0242488	0
0281968	0039648	0
0177919	0315350	0
0023839	0023835	1
0043174	0043144	1
0040531	0019426	0
0282471	0282469	1
0172033	0172027	1
0063127	0063143	1
0221023	0280664	0
0267890	0322971	0
0243115	0245808	0
0264771	0216447	0
0038245	0121033	0
0280144	0174496	0
0219804	0111278	0
0132454	0048266	0
0304635	0007051	0
0281217	0281214	1
0109464	0135857	0
0102674	0163982	0
0282078	0150290	0
0044796	0086944	0
0200486	0174496	0
0112814	0130829	0
0135839	0214583	0
0218593	0254986	0
0309139	0309150	1
0132454	0181315	0
0174853	0130877	0
0064859	0181316	0
0270225	0150285	0
0040999	0041012	1
0156327	0156321	1
0011701	0011698	1
0060724	0060722	1
0318455	0318454	1
0219464	0129192	0
0284128	0181655	0
0224423	0057425	0
0274946	0198811	0
0121569	0121571	1
0282078	0019432	0
0121832	0240477	0
0147122	0147862	0
0072183	0201396	0
0126706	0101672	0
0108387	0221023	0
0027818	0082671	0
0020643	0166083	0
0300874	0283103	0
0171104	0042791	0
0072660	0249297	0
0231414	0231441	1
0204464	0238527	0
0011399	0168973	0
0073989	0234369	0
0070203	0150451	0
0011403	0149709	0
0022301	0281826	0
0061504	0110434	0
0076576	0110441	0
0027409	0107042	0
0164980	0260641	0
0074763	0074774	1
0201800	0157835	0
0106742	0300070	0
0097277	0267734	0
0090198	0257700	0
0210889	0123196	0
0177223	0051748	0
0266905	0040532	0
0108671	0212685	0
0076605	0016010	0
0166142	0198805	0
0295148	0295130	1
0061485	0221017	0
0219813	0219804	1
0253507	0236762	0
0156102	0156096	1
0108408	0059127	0
0263750	0110238	0
0181315	0179604	0
0275997	0275993	1
0108678	0041022	0
0092571	0199281	0
0286494	0286498	1
0166142	0053094	0
0250833	0250814	1
0174200	0268838	0
0174017	0026645	0
0286646	0281217	0
0085528	0033286	0
0143350	0190955	0
0227059	0037141	0
0264766	0264771	1
0267734	0181828	0
0285500	0232313	0
0311469	0311448	1
0075274	0182110	0
0277994	0263750	0
0235646	0121832	0
0043144	0084948	0
0012501	0016716	0
0250814	0295130	0
0184356	0310326	0
0130982	0280186	0
0230356	0028063	0
0243135	0306231	0
0220683	0110361	0
0229335	0229340	1
0037019	0235125	0
0071587	0071583	1
0284105	0228606	0
0056263	0174842	0
0076665	0166142	0
0257756	0321146	0
0270250	0300876	0
0322415	0216530	0
0310327	0269639	0
0081317	0222730	0
0018421	0307258	0
0080098	0080091	1
0155415	0232313	0
0236760	0039707	0
0063150	0063152	1
0043174	0176007	0
0172675	0016735	0
0067676	0231447	0
0099977	0028851	0
0219807	0219804	1
0092505	0001584	0
0204464	0204450	1
0143350	0276576	0
0214909	0155434	0
0278136	0190654	0
0033432	0049530	0
0144126	0144136	1
0195185	0044796	0
0199692	0034043	0
0163096	0276138	0
0042791	0027825	0
0137879	0111510	0
0235250	0007910	0
0090169	0217839	0
0319568	0319565	1
0242678	0204068	0
0098382	0125715	0
0082154	0074166	0
0248370	0051748	0
0322401	0322427	1
0044551	0022247	0
0107149	0323527	0
0257764	0269794	0
0306845	0115260	0
0016556	0032018	0
0302451	0273891	0
0060722	0282078	0
0101553	0116417	0
0092556	0202434	0
0184360	0184356	1
0086517	0086558	1
0284102	0151074	0
0238399	0238405	1
0015305	0307938	0
0086233	0005693	0
0025768	0025089	0
0016858	0298724	0
0211320	0151074	0
0080091	0197385	0
0188324	0067562	0
0045657	0322056	0
0316640	0315215	0
0063156	0126696	0
0150675	0130789	0
0020572	0020608	1
0063033	0063030	1
0308559	0044988	0
0267877	0295707	0
0034283	0034284	1
0267832	0119105	0
0045783	0230356	0
0280195	0280186	1
0279527	0279572	1
0015111	0128934	0
0059245	0059273	1
0273891	0273895	1
0227338	0063641	0
0102926	0119111	0
